id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19930130,Apartamento Gaztainondoak!! A 10 min. de Laguardia,141203850,Gabriel,Ãlava,Lanciego,42.56123,-2.51032,Entire home/apt,100,2,67,2022-09-24,1.30,2,351,10,EVI00120
19930162,DOUBLE ROOM WITH BATHROOM Hab Doble REF LSS00134,140949492,Kasia,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32114,-1.95662,Private room,86,2,68,2022-09-05,1.26,5,40,10,LSS00134
19942984,HABITACIÓN VERDE,138020054,Yolanda,Ãlava,Salvatierra,42.85302,-2.39154,Private room,60,1,1,2018-07-23,0.02,2,360,0,
19954911,Location vacance luxe Biriatou Pays Basque,141375693,Audrey,GuipÃºzcoa,Irun,43.34221,-1.73598,Entire home/apt,100,2,7,2022-08-12,1.41,1,346,7,6413000002961
19966298,Loft Centro Teletrabajo Wifi Bilbao,141210322,Ylcie,Vizcaya,Bilbao,43.2669,-2.92106,Entire home/apt,70,1,352,2022-09-24,5.59,1,43,58,
19968586,"EUSKAL DREAMS ,PERFECTO PARA FAMILIAS  ,  E-Bi-474",52692450,Roberto,Vizcaya,Bermeo,43.41107,-2.72797,Entire home/apt,200,4,7,2021-08-17,0.11,1,91,0,E-BI-474
19981696,"HABITACIÓN en CASCO VIEJO (OLD TOWN), con DESAYUNO",77854324,Aitor,Vizcaya,Bilbao,43.26313,-2.9236,Private room,59,2,234,2022-09-22,3.72,1,138,66,LBI 141
19989928,Always Easy | Suite Terraza,5254782,Always Easy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31548,-1.9809,Entire home/apt,311,1,76,2022-07-23,1.23,27,350,5,ESS01516
19996475,"Placer de estar, calidez; paisajes y silencio, paz",88332425,Josu,Ãlava,Ayala,43.07668,-3.08729,Entire home/apt,385,2,10,2022-09-04,0.16,1,338,2,
20007694,OLATZ ESKOLA ETXEA - The heart of the GEOPARK,142011222,Ugaitz,GuipÃºzcoa,Mutriku,43.28899,-2.40943,Entire home/apt,160,5,31,2022-09-18,0.49,1,348,4,ESS01447
20018932,Amets etxalde,142099465,Monika,Vizcaya,Karrantza Harana,43.25929,-3.35725,Entire home/apt,160,3,19,2021-09-19,0.31,1,104,0,EBI 496
20047131,ALBERGUE TURÍSTICO ARRITXULO 3,53431522,Arritxulo,GuipÃºzcoa,Oiartzun,43.272125244140625,-1.7956910133361816,Private room,22,1,23,2022-08-23,0.37,5,57,8,Bss 00020
20082354,"001 / SAN DIEGO, amazing sea views",98189424,Iberorent Apartments,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3257,-1.97273,Entire home/apt,348,1,38,2022-09-11,0.63,22,73,10,ESS01546
20099516,Zurriola Loft by FeelFree Rentals,124008929,FeelFree Rentals,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32542,-1.97645,Entire home/apt,367,2,15,2022-08-21,0.24,110,278,6,ESS01543
20131058,ROOM BOHEMIA NEAR THE TOWN HALL,62205707,Mercedes Medina,Vizcaya,Bilbao,43.27074,-2.92122,Private room,14,30,3,2022-08-08,0.05,66,238,1,No es necesaria licencia para alquileres temporales por habitaciones superiores a 1 mes (31 dias)
20150039,Maison de charme proche commerces et plage,116570366,Adélaïde,GuipÃºzcoa,Irun,43.35618,-1.7748,Entire home/apt,250,5,7,2022-01-01,0.13,1,306,1,64260000960A5
20152097,apt n°2 t3 sur jardin privé a 50 mètre  plage,143189333,Dominique,GuipÃºzcoa,Hondarribia,43.37205,-1.77628,Entire home/apt,53,1,56,2022-09-10,0.90,2,133,9,6426000068945
20160820,"The house with a tree, a cozy, central apartment",141350615,Sara,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31396,-1.97948,Entire home/apt,150,2,41,2022-06-28,0.65,1,0,5,ESS01480
20165123,Farándula Room,143508682,Catalina,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31719,-1.97393,Private room,35,2,53,2019-11-10,0.85,1,323,0,
20169130,Lujosa habitación muy céntrico con baño privado 1,143548447,Luisa,Vizcaya,Bilbao,43.26274,-2.93113,Private room,68,1,552,2022-09-23,8.80,3,326,99,BI191
20176930,ALBERGUE TURÍSTICO ARRITXULO 2,53431522,Arritxulo,GuipÃºzcoa,Oiartzun,43.272186279296875,-1.7957340478897095,Private room,22,1,10,2022-09-11,0.16,5,84,7,BSSOO20
20182722,"LA CASA DE BEGOÑA, 140 m2, CENTRO DE LAGUARDIA.",54840224,Zorione,Ãlava,Laguardia,42.55397,-2.58637,Entire home/apt,242,2,9,2022-09-19,0.16,8,330,4,E-VI-0080
20184502,"San Sebastian, Orio, apartment on the beach+garage",40549256,Egona,GuipÃºzcoa,Orio,43.28948,-2.12774,Entire home/apt,151,2,67,2022-09-07,1.07,30,157,41,ESS02880
20187911,BMA1 by Forever Rentals. Accessible 1bedroom apartment. Air conditioning. Wifi,105663223,Promociones Saturdi,Vizcaya,Bilbao,43.26797,-2.93399,Entire home/apt,176,2,3,2021-12-24,0.19,15,316,1,TBI00032
20188553,Vivienda en villa con encanto a 60 m. de la playa.,143743652,Juan,GuipÃºzcoa,Zarautz,43.28664,-2.16421,Entire home/apt,161,3,38,2021-10-24,0.62,2,79,2,
20202367,The House Of Lukas,143881979,Jaime,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30922,-1.97065,Entire home/apt,90,2,131,2019-12-16,2.10,1,0,0,En tramite
20204550,NATURALEZA EN ESTADO PURO EN MOLINO SOLAPEÑA,42963880,Nerea,Ãlava,ValdegovÃ­a,42.87344,-3.17329,Entire home/apt,350,2,6,2022-08-07,0.10,1,296,2,K-VI0048
20213002,"Piso junto al Centro Histórico, garaje incluido",143979525,Javier,Ãlava,Vitoria-Gasteiz,42.84998,-2.67926,Entire home/apt,76,2,131,2022-09-25,2.09,2,67,31,E VI 0079
20220292,Lujosa habitación muy céntrico con baño privado,143548447,Luisa,Vizcaya,Bilbao,43.26474,-2.93233,Private room,61,1,496,2022-09-22,7.92,3,340,93,BI191
20220304,Apartamento en Lanciego (Álava) a 12 Km de Logroño,132267139,Cristina,Ãlava,Lanciego,42.57671,-2.49845,Entire home/apt,86,2,22,2022-08-24,0.35,3,180,1,
20220383,2 pièces Hendaye proche plage,144054679,Jacques,GuipÃºzcoa,Hondarribia,43.37144,-1.77346,Entire home/apt,65,7,38,2022-08-29,0.62,1,32,2,642600001177A
20232699,Apartamento acogedor,143212568,Roberto,Vizcaya,Bilbao,43.25646,-2.92591,Entire home/apt,100,1,235,2022-09-05,3.75,1,28,28,Permiso EBI-507
20238257,Barakaldo - Hospital Cruces - BEC,43666877,Roberto,Vizcaya,Barakaldo,43.28102,-2.98164,Entire home/apt,86,2,32,2022-05-30,0.52,1,317,3,EBI-0064
20243665,Acogedor apartamento con vistas al mar.,132195753,Estibaliz,Vizcaya,Bermeo,43.42048,-2.72017,Entire home/apt,100,2,22,2022-08-10,0.40,2,338,4,EBI658
20262592,NEW Central Boutique Apartment 7 pax!,25039584,Ss Housing,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32036,-1.98046,Entire home/apt,233,2,101,2022-09-17,1.70,22,33,27,
20267015,CHALET LAVIN ETXEA .desde 75€ 2 personas.,144476703,Roberto,Vizcaya,Galdames,43.27124,-3.12668,Entire home/apt,100,2,8,2021-09-26,0.16,1,352,0,EBI437
20273728,NEW Central Boutique Apartment 3 Pax in the CENTER,25039584,Ss Housing,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32184,-1.98188,Entire home/apt,156,2,48,2022-09-22,0.86,22,34,1,
20303976,"L-BI282 Single room Bilbao Center, Air conditioned",100886483,Lurdes,Vizcaya,Bilbao,43.2579,-2.93532,Private room,47,2,208,2022-09-14,3.33,3,150,20,L-BIO-282
20313094,Apartamento Vintage  ( ESSO1496)  Gobierno Vasco,11251208,Marian,GuipÃºzcoa,Errenteria,43.31057,-1.89804,Entire home/apt,75,4,48,2022-09-06,0.78,2,106,7,ESSO1496
20317665,Apartment 6-8 places WI FI+Parking,6647633,Igor,GuipÃºzcoa,Lasarte-Oria,43.26898,-2.02179,Entire home/apt,100,1,63,2021-07-18,1.01,5,1,0,ESS01706
20318793,ESTUDIO MUY CERCA DEL CENTRO DE LA CIUDAD,23859280,Eduardo,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31198,-1.96768,Entire home/apt,71,2,58,2022-09-03,0.93,1,166,17,
