listing_id,date
382144,2014-04-06
382144,2014-04-26
382144,2014-08-11
382144,2014-09-03
382144,2014-09-09
382144,2015-03-21
382144,2015-04-04
382144,2015-05-24
382144,2015-06-30
382144,2015-07-18
382144,2015-07-27
382144,2015-08-04
382144,2015-08-24
382144,2015-09-03
382144,2015-12-09
382144,2016-02-20
382144,2016-04-09
382144,2016-07-11
382144,2016-07-28
382144,2016-08-02
382144,2016-08-10
382144,2016-08-20
382144,2016-09-20
382144,2016-10-18
382144,2016-10-29
382144,2017-04-14
382144,2017-05-02
382144,2017-05-06
382144,2017-05-30
382144,2017-06-02
382144,2017-06-16
382144,2017-06-23
382144,2017-07-03
382144,2017-08-08
382144,2017-08-28
382144,2017-09-08
382144,2017-10-24
382144,2018-01-02
382144,2018-02-16
382144,2018-04-14
382144,2018-06-02
382144,2018-06-19
382144,2018-08-27
382144,2018-09-18
382144,2018-10-29
382144,2018-11-21
382144,2019-03-04
382144,2019-05-01
382144,2019-06-05
382144,2019-06-28
382144,2019-08-12
382144,2019-09-02
382144,2019-09-07
382144,2019-09-13
382144,2020-09-10
382144,2020-09-14
382144,2020-09-22
382144,2020-10-12
382144,2021-04-04
382144,2021-06-22
382144,2021-06-27
382144,2021-07-31
382144,2021-08-07
382144,2021-09-14
382144,2021-09-30
382144,2021-10-16
382144,2022-04-16
382144,2022-06-25
382144,2022-07-03
382144,2022-07-24
382144,2022-09-10
394135,2012-05-31
394135,2012-06-28
394135,2012-07-30
394135,2012-09-17
394135,2012-10-05
394135,2013-06-25
394135,2013-06-30
394135,2013-07-19
394135,2013-08-05
394135,2013-08-26
394135,2013-09-24
394135,2013-10-07
394135,2014-05-22
394135,2014-06-03
394135,2014-06-15
394135,2014-07-12
394135,2014-08-24
394135,2014-09-07
394135,2014-10-04
394135,2015-04-25
394135,2015-05-26
394135,2015-06-04
394135,2015-06-24
394135,2015-08-01
394135,2015-08-29
394135,2015-09-06
394135,2015-09-26
394135,2015-10-05
394135,2016-04-09
394135,2016-05-16
394135,2016-06-08
394135,2016-06-19
394135,2016-06-29
394135,2016-07-23
394135,2016-08-20
394135,2016-09-05
394135,2016-09-27
394135,2016-10-15
394135,2016-10-25
394135,2017-04-15
394135,2017-06-03
394135,2017-07-21
394135,2017-08-22
394135,2017-08-30
394135,2017-09-09
394135,2017-09-23
394135,2018-04-21
394135,2018-04-30
394135,2018-05-27
394135,2018-06-13
394135,2018-06-23
394135,2018-07-01
394135,2018-07-14
394135,2018-08-11
394135,2018-08-19
394135,2018-09-30
394135,2018-10-12
394135,2018-10-27
394135,2019-04-13
394135,2019-06-10
394135,2019-06-20
394135,2019-06-29
394135,2019-07-27
394135,2019-08-14
394135,2019-08-24
394135,2020-07-27
394135,2020-09-06
394135,2020-09-26
394135,2020-10-25
394135,2021-05-16
394135,2021-05-31
394135,2021-07-03
394135,2021-07-11
394135,2021-07-18
394135,2021-07-29
394135,2021-08-08
394135,2021-09-02
394135,2021-10-18
394135,2021-10-30
394135,2022-05-01
394135,2022-05-09
394135,2022-05-21
394135,2022-05-30
394135,2022-06-17
394135,2022-06-25
394135,2022-07-02
394135,2022-07-12
394135,2022-08-20
394135,2022-08-28
394135,2022-09-09
394135,2022-09-17
394135,2022-09-25
403664,2012-07-21
403664,2012-07-30
403664,2012-08-06
403664,2013-05-13
403664,2014-07-11
403664,2014-09-01
403664,2014-09-07
403664,2014-11-16
403664,2015-04-23
403664,2015-05-20
403664,2015-06-22
403664,2015-07-09
403664,2015-08-24
403664,2015-09-14
403664,2015-09-17
403664,2015-09-25
403664,2015-12-08
403664,2016-03-20
403664,2016-03-27
403664,2016-04-05
403664,2016-05-06
403664,2016-05-16
403664,2016-06-04
403664,2016-06-12
403664,2016-06-19
403664,2016-07-10
403664,2016-07-19
403664,2016-07-23
403664,2016-07-27
403664,2016-07-31
403664,2016-08-08
403664,2016-09-30
403664,2016-10-18
403664,2016-12-06
403664,2017-01-02
403664,2017-01-28
403664,2017-04-30
403664,2017-05-28
403664,2017-05-31
403664,2017-06-14
403664,2017-06-28
403664,2017-07-03
403664,2017-07-07
403664,2017-07-22
403664,2017-07-27
403664,2017-08-17
403664,2017-08-28
403664,2017-09-08
403664,2017-09-15
403664,2017-10-06
403664,2017-10-26
403664,2018-02-24
403664,2018-03-08
403664,2018-03-31
403664,2018-05-07
403664,2018-06-16
403664,2018-07-02
403664,2018-07-13
403664,2018-08-15
403664,2018-08-22
403664,2018-08-30
403664,2018-09-05
403664,2018-09-09
403664,2018-09-23
403664,2018-09-30
403664,2018-11-08
403664,2019-05-23
403664,2019-06-08
403664,2019-06-15
403664,2019-06-25
403664,2019-07-03
403664,2019-07-07
403664,2019-07-11
403664,2019-07-15
403664,2019-07-24
403664,2019-07-29
403664,2019-08-11
403664,2019-08-22
403664,2019-09-04
403664,2019-09-11
403664,2019-11-04
403664,2020-02-19
403664,2020-03-10
403664,2020-07-24
403664,2020-08-03
403664,2020-08-09
403664,2020-08-14
403664,2020-08-24
403664,2020-09-07
403664,2020-09-15
403664,2021-03-03
403664,2021-04-05
403664,2021-05-12
403664,2021-07-13
403664,2021-07-24
403664,2021-08-01
403664,2021-08-08
403664,2021-09-08
403664,2021-11-07
403664,2021-11-11
403664,2022-04-24
403664,2022-05-18
403664,2022-06-03
403664,2022-07-06
403664,2022-07-14
403664,2022-07-29
403664,2022-09-12
425853,2012-05-09
425853,2012-06-28
425853,2012-07-12
425853,2012-08-08
425853,2012-08-23
425853,2012-09-03
425853,2012-09-26
425853,2012-10-04
425853,2012-10-11
425853,2012-12-11
425853,2013-03-18
425853,2013-03-28
425853,2013-04-13
425853,2013-04-25
425853,2013-06-05
425853,2013-06-09
425853,2013-06-16
425853,2013-07-05
425853,2013-07-30
425853,2013-08-14
425853,2013-08-26
425853,2013-08-30
425853,2013-09-13
425853,2013-09-17
425853,2013-09-21
425853,2013-09-29
425853,2013-10-15
425853,2013-10-20
425853,2013-11-13
425853,2014-03-24
425853,2014-03-31
425853,2014-06-24
425853,2014-07-19
425853,2014-08-03
425853,2014-08-11
425853,2014-08-25
425853,2014-09-09
425853,2014-09-27
425853,2014-10-19
425853,2015-04-05
425853,2015-05-04
425853,2015-05-19
425853,2015-05-30
425853,2015-06-08
425853,2015-07-12
425853,2015-07-19
425853,2015-07-29
425853,2015-08-09
425853,2015-08-18
425853,2015-08-25
425853,2015-09-03
425853,2015-09-12
425853,2015-09-16
425853,2015-09-23
425853,2016-05-06
425853,2016-06-24
425853,2016-07-28
425853,2016-08-03
425853,2016-08-12
425853,2016-09-13
425853,2016-09-27
425853,2016-10-22
425853,2017-08-09
425853,2017-08-18
425853,2017-09-02
425853,2017-09-16
425853,2017-09-29
425853,2020-08-16
425853,2020-08-23
425853,2020-08-27
425853,2020-09-06
425853,2020-09-14
425853,2021-05-23
425853,2021-06-15
425853,2021-07-10
425853,2021-07-25
425853,2021-08-01
425853,2021-08-08
425853,2021-08-24
425853,2021-09-11
425853,2021-09-19
425853,2021-10-27
425853,2022-06-19
425853,2022-07-05
425853,2022-07-18
425853,2022-08-02
425853,2022-08-09
425853,2022-08-26
425853,2022-09-02
425853,2022-09-11
425853,2022-09-18
425853,2022-09-26
434190,2012-07-13
434190,2012-07-24
434190,2012-08-13
434190,2012-09-01
434190,2013-07-01
434190,2013-09-08
434190,2013-09-21
434190,2013-10-02
434190,2014-06-29
434190,2014-07-22
434190,2014-09-24
434190,2015-07-11
434190,2015-08-10
434190,2016-04-27
434190,2016-06-25
434190,2016-06-30
434190,2016-07-18
434190,2016-08-11
434190,2016-08-27
434190,2016-09-11
434190,2016-09-22
434190,2017-07-16
434190,2017-08-19
434190,2017-08-24
434190,2020-08-10
434190,2020-08-20
434190,2021-07-04
434190,2021-07-14
434190,2021-08-06
434190,2021-08-22
434190,2021-08-28
434190,2021-09-03
434190,2021-09-17
434190,2021-09-28
434190,2022-04-16
434190,2022-04-23
434190,2022-04-28
434190,2022-05-31
434190,2022-06-18
434190,2022-06-30
434190,2022-07-05
434190,2022-07-10
434190,2022-07-14
434190,2022-08-04
434190,2022-08-10
434190,2022-08-17
434190,2022-08-25
434190,2022-09-02
434190,2022-09-11
434190,2022-09-15
434190,2022-09-19
434190,2022-09-26
459265,2015-08-29
459265,2015-09-13
459265,2016-08-21
459265,2016-09-03
459265,2017-05-31
459265,2017-07-02
459265,2018-06-30
459265,2018-07-25
459265,2018-08-05
459265,2018-08-31
459265,2021-08-01
459265,2021-08-10
459265,2021-08-28
459265,2022-08-06
459265,2022-08-18
459265,2022-08-24
459265,2022-08-28
459265,2022-09-02
494480,2013-08-05
494480,2015-06-10
494480,2015-09-09
494480,2016-07-20
494480,2016-09-12
494480,2016-09-18
494480,2017-07-05
494480,2017-08-17
494480,2018-07-06
494480,2018-07-30
494480,2018-08-06
494480,2018-08-29
494480,2019-06-20
494480,2019-07-03
494480,2019-07-15
494480,2019-07-17
494480,2019-08-02
494480,2019-08-11
494480,2019-09-10
494480,2019-09-15
494480,2020-07-09
494480,2020-07-16
494480,2020-07-23
494480,2020-08-12
494480,2020-08-25
494480,2020-09-04
494480,2020-09-11
494480,2021-05-31
494480,2021-06-10
494480,2021-06-24
494480,2021-06-25
494480,2021-07-03
494480,2021-07-10
494480,2021-07-13
494480,2021-07-22
494480,2021-07-25
494480,2021-07-29
494480,2021-08-07
494480,2021-09-23
494480,2021-09-28
494480,2021-10-07
494480,2022-06-18
494480,2022-07-03
494480,2022-08-01
494480,2022-08-15
494480,2022-08-31
517301,2012-08-15
517301,2012-08-21
517301,2012-08-29
517301,2012-09-14
517301,2012-09-24
517301,2013-05-19
517301,2013-07-13
517301,2013-07-30
517301,2013-09-06
517301,2015-05-30
517301,2015-07-15
517301,2015-07-31
517301,2015-08-15
517301,2015-08-28
517301,2015-09-07
517301,2015-09-12
517301,2015-09-28
517301,2015-10-11
517301,2015-10-29
517301,2016-05-14
517301,2016-06-25
517301,2016-07-30
517301,2016-08-06
517301,2016-10-02
517301,2017-04-14
517301,2017-04-18
517301,2017-06-16
517301,2017-07-10
517301,2017-07-26
517301,2017-08-11
517301,2017-08-19
517301,2018-06-20
517301,2018-07-12
517301,2018-08-09
517301,2018-09-05
517301,2019-07-23
517301,2019-08-03
517301,2019-08-14
517301,2019-08-17
517301,2019-09-06
517301,2020-07-19
517301,2020-08-02
517301,2020-10-12
517301,2021-07-31
517301,2021-08-26
517301,2021-09-04
517301,2021-09-16
517301,2022-05-29
517301,2022-06-09
517301,2022-06-13
517301,2022-06-20
517301,2022-06-24
517301,2022-07-17
517301,2022-08-07
517301,2022-08-09
517301,2022-08-14
517301,2022-09-04
517301,2022-09-14
517301,2022-09-18
527985,2018-08-14
527985,2019-07-20
527985,2019-10-26
527985,2020-06-28
527985,2020-08-10
527985,2020-08-23
527985,2021-06-26
527985,2021-07-12
527985,2021-08-14
527985,2021-08-28
545844,2013-07-15
545844,2014-07-27
545844,2014-08-10
545844,2014-08-21
545844,2014-08-29
545844,2015-07-16
545844,2015-09-05
545844,2016-07-30
545844,2016-08-14
545844,2016-08-26
545844,2016-09-04
545844,2016-09-19
545844,2016-10-07
545844,2017-04-23
545844,2017-08-27
545844,2017-09-19
545844,2018-06-06
545844,2018-06-30
545844,2018-07-21
545844,2018-08-02
545844,2018-09-11
545844,2018-09-26
545844,2019-06-21
545844,2019-07-28
545844,2019-08-17
545844,2019-09-07
545844,2020-08-15
545844,2020-08-28
545844,2021-07-19
545844,2021-07-27
545844,2021-08-02
545844,2021-09-03
545844,2021-09-09
545844,2021-09-17
545844,2021-09-28
545844,2021-10-08
545844,2021-10-27
545844,2022-04-14
545844,2022-04-21
545844,2022-05-07
545844,2022-05-27
545844,2022-06-03
545844,2022-06-11
545844,2022-07-13
545844,2022-07-22
545844,2022-08-02
545844,2022-08-10
545844,2022-09-01
545844,2022-09-07
545844,2022-09-15
549304,2012-08-13
549304,2012-09-17
549304,2012-11-07
549304,2013-05-22
549304,2013-07-21
549304,2013-07-31
549304,2013-08-19
549304,2013-08-25
549304,2013-09-09
549304,2013-10-14
549304,2014-07-22
549304,2014-08-18
549304,2014-08-28
549304,2014-09-05
549304,2014-09-12
549304,2014-09-23
549304,2014-10-03
549304,2014-10-25
549304,2015-04-02
549304,2015-04-28
549304,2015-05-09
549304,2015-05-31
549304,2015-06-11
549304,2015-07-10
549304,2015-07-20
549304,2015-07-29
549304,2015-10-24
549304,2015-10-30
549304,2016-01-03
549304,2016-04-29
549304,2016-05-15
549304,2016-06-12
549304,2016-07-07
549304,2016-07-16
549304,2016-07-28
549304,2016-08-03
549304,2016-08-08
549304,2016-08-21
549304,2016-08-27
549304,2016-09-10
549304,2016-09-22
549304,2017-04-11
549304,2017-04-22
549304,2017-05-20
549304,2017-07-06
549304,2017-07-16
549304,2017-07-26
549304,2017-08-12
549304,2017-08-24
549304,2017-08-29
549304,2017-09-03
549304,2017-09-09
549304,2017-09-14
549304,2017-10-01
549304,2018-04-10
549304,2018-04-21
549304,2018-06-03
549304,2018-07-08
549304,2018-07-25
549304,2018-07-31
549304,2018-08-07
549304,2018-08-16
549304,2018-08-26
549304,2018-08-30
549304,2018-09-07
549304,2018-09-12
549304,2018-09-18
549304,2019-01-02
549304,2019-04-24
549304,2019-06-04
549304,2019-07-08
549304,2019-07-20
549304,2019-07-26
549304,2019-08-02
549304,2019-08-20
549304,2019-08-26
549304,2019-09-28
549304,2020-07-11
549304,2020-07-18
549304,2020-07-26
549304,2020-08-03
549304,2020-08-10
549304,2020-08-21
549304,2020-09-30
549304,2021-05-24
549304,2021-05-30
549304,2021-06-19
549304,2021-06-22
549304,2021-06-27
549304,2021-07-10
549304,2021-07-17
549304,2021-07-23
549304,2021-07-25
549304,2021-07-30
549304,2021-08-01
549304,2021-08-13
549304,2021-09-19
549304,2021-10-03
549304,2022-04-26
549304,2022-05-02
549304,2022-05-22
549304,2022-05-30
549304,2022-06-07
549304,2022-07-09
549304,2022-07-17
549304,2022-07-31
549304,2022-08-12
549304,2022-08-23
549304,2022-08-30
549304,2022-09-09
549304,2022-09-15
549304,2022-09-21
580840,2012-08-28
580840,2012-09-05
580840,2012-09-17
580840,2012-10-22
580840,2013-06-30
580840,2013-07-15
580840,2013-07-24
580840,2013-08-13
580840,2013-08-22
580840,2013-08-29
580840,2013-09-07
580840,2013-09-17
580840,2013-10-24
580840,2014-04-28
580840,2014-07-05
580840,2014-07-16
580840,2014-07-21
580840,2014-08-05
580840,2014-08-25
580840,2014-08-30
580840,2014-09-08
580840,2014-09-21
580840,2014-10-03
580840,2014-10-22
580840,2015-04-04
580840,2015-04-11
580840,2015-04-26
580840,2015-05-27
580840,2015-06-08
580840,2015-06-29
580840,2015-07-31
580840,2015-08-30
580840,2015-09-16
580840,2015-09-25
580840,2015-10-04
580840,2015-11-01
580840,2016-02-29
580840,2016-05-11
580840,2016-05-31
580840,2016-06-11
580840,2016-06-29
580840,2016-07-10
580840,2016-07-18
580840,2016-07-28
580840,2016-08-20
580840,2016-08-30
580840,2016-09-10
580840,2016-10-01
580840,2016-10-28
580840,2017-04-01
580840,2017-04-16
580840,2017-05-01
580840,2017-05-23
580840,2017-06-02
580840,2017-06-06
580840,2017-06-29
580840,2017-07-28
580840,2017-08-04
580840,2017-08-13
580840,2017-08-20
580840,2017-08-26
580840,2017-08-31
580840,2017-09-09
580840,2017-09-16
580840,2017-09-25
580840,2017-10-02
580840,2017-10-17
580840,2018-04-02
580840,2018-05-29
580840,2018-06-07
580840,2018-06-13
580840,2018-06-24
580840,2018-07-21
580840,2018-07-26
580840,2018-08-04
580840,2018-08-19
580840,2018-08-28
580840,2018-09-06
580840,2018-09-20
580840,2018-10-05
580840,2018-10-13
580840,2018-10-27
580840,2018-11-03
580840,2019-04-17
580840,2019-04-25
580840,2019-05-01
580840,2019-05-23
580840,2019-06-11
580840,2019-06-21
580840,2019-07-06
580840,2019-07-13
580840,2019-07-27
580840,2019-08-05
580840,2019-08-23
580840,2019-08-27
580840,2019-09-19
580840,2019-09-27
580840,2019-10-05
580840,2019-10-11
580840,2019-10-24
580840,2019-11-03
580840,2020-08-07
580840,2020-10-26
580840,2021-04-07
580840,2021-05-08
580840,2021-06-14
580840,2021-06-26
580840,2021-07-31
580840,2021-09-05
580840,2021-09-19
580840,2021-09-25
580840,2021-10-11
580840,2021-10-17
580840,2021-10-23
580840,2021-10-30
580840,2021-11-06
580840,2022-04-17
580840,2022-04-27
580840,2022-05-05
580840,2022-05-18
580840,2022-05-28
580840,2022-06-13
580840,2022-07-12
580840,2022-07-26
580840,2022-08-06
580840,2022-08-13
580840,2022-08-26
580840,2022-09-14
589898,2017-06-07
589898,2017-07-28
589898,2017-09-14
589898,2018-04-03
589898,2018-04-22
589898,2018-05-07
589898,2018-05-26
589898,2018-07-14
589898,2018-07-28
589898,2018-09-01
589898,2018-09-08
589898,2019-07-05
589898,2019-07-27
589898,2020-08-08
589898,2022-07-30
589898,2022-08-14
596553,2013-06-06
596553,2013-06-16
596553,2013-07-22
596553,2013-08-12
596553,2013-08-25
596553,2014-04-20
596553,2014-04-28
596553,2014-05-22
596553,2014-05-29
596553,2014-06-12
596553,2014-06-19
596553,2014-06-29
596553,2014-07-07
596553,2014-07-20
596553,2014-08-01
596553,2014-08-08
596553,2014-08-24
596553,2014-08-30
596553,2014-09-14
596553,2014-09-30
596553,2014-10-14
596553,2014-10-27
596553,2015-05-13
596553,2015-06-01
596553,2015-06-09
596553,2015-07-24
596553,2015-08-03
596553,2015-08-11
596553,2015-08-30
596553,2015-09-07
596553,2015-10-06
596553,2016-05-09
596553,2016-06-02
596553,2016-06-30
596553,2016-07-26
596553,2016-08-07
596553,2016-08-22
596553,2016-08-28
596553,2016-09-23
596553,2016-10-06
596553,2016-10-22
596553,2017-05-18
596553,2017-06-10
596553,2017-06-26
596553,2017-07-08
596553,2017-07-23
596553,2017-07-28
596553,2017-08-14
596553,2017-08-27
596553,2017-09-02
596553,2017-09-09
596553,2017-09-28
596553,2017-10-03
596553,2018-06-30
596553,2018-07-21
596553,2018-08-25
596553,2018-09-11
596553,2018-09-30
596553,2019-06-27
596553,2019-07-19
596553,2019-08-11
596553,2019-08-22
596553,2019-09-01
596553,2019-09-17
596553,2019-09-25
596553,2022-08-11
596553,2022-08-21
636272,2014-09-02
636272,2015-09-07
636272,2016-07-04
636272,2016-08-09
636272,2017-08-28
636272,2017-09-13
636272,2018-07-07
636272,2018-08-30
636272,2018-09-04
