id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
256461,Beautiful B & B Casa Avallone,1349033,Imma,,Montecalvario,40.84476,14.24539,Private room,75,4,0,,,1,199,0,
260759,Huge duplex central Napoli + studio,696988,Ruben,,San Ferdinando,40.8383,14.24422,Entire home/apt,100,30,20,2016-09-30,0.16,1,167,0,
1008680,cozy mini-apartment citycenter wifi,808350,Giancarlo,,Porto,40.8402,14.25516,Entire home/apt,100,1,33,2022-08-10,0.29,6,313,4,
264932,Hostel of the sun Double Room,1340676,Luca,,Porto,40.84083,14.25534,Hotel room,70,1,2,2016-05-20,0.02,10,5,0,
1017614,in the heart of the Vomero; Naples,5600580,Andrea,,Vomero,40.84675,14.22826,Entire home/apt,80,2,34,2022-09-12,0.30,1,313,12,
1042519,Mezzocannone Holiday House,5739471,Manuela,,Porto,40.84549,14.2568,Entire home/apt,67,3,253,2022-08-31,2.22,3,203,23,
276925,Hostel Mancini Naples Shared Room,1446354,Margherita,,Pendino,40.85194,14.26588,Shared room,49,1,191,2022-09-05,1.53,7,120,29,
1049366,Warm and Colorful Apartment,5778559,Nico,,Avvocata,40.85301,14.23958,Entire home/apt,35,1,196,2022-05-01,1.72,1,0,7,
282618,APPARTMENT IN HISTORICAL PALACE,1472960,Celesta,,San Carlo all'Arena,40.85799,14.2552,Entire home/apt,77,2,250,2022-08-16,1.98,3,356,13,
296874,""" Ténéré "" room in the heart of historical center.",14169118,Gigi,,Stella,40.85993,14.24994,Private room,80,2,0,,,7,295,0,
1053298,Garibaldi Holiday House,5739471,Manuela,,Zona Industriale,40.8528,14.26775,Entire home/apt,86,3,207,2022-08-15,1.81,3,217,15,
1081426,Little house in Chiaia,5947692,Marco,,Chiaia,40.83741,14.23767,Entire home/apt,95,1,131,2017-10-16,1.16,1,167,0,
301476,The Green Oasis,1556801,Marcella,,Arenella,40.86112,14.2215,Entire home/apt,70,1,54,2022-09-06,0.72,1,61,24,
1109523,Comfortable room - heart of Naples,2193590,Simone,,San Lorenzo,40.85109,14.25524,Private room,60,3,152,2022-08-29,1.37,1,51,31,
304001,"Tranquillo, confortevole studios",1564850,Sergio,,Pendino,40.85084,14.25984,Entire home/apt,73,3,128,2022-09-07,1.01,2,325,21,
1132251,Home holidays in Naples - Vomero,4016864,Gian Luca,,Arenella,40.85366,14.22098,Private room,30,3,1,2013-10-06,0.01,1,360,0,
310815,Residenza Maiorani  green,1587194,Marco,,Pendino,40.85127,14.25854,Entire home/apt,45,3,307,2022-09-04,2.42,2,332,47,
313850,Bright & comfortable apartment WiFi - Easy Pompei,289412,Davide,,Mercato,40.85027,14.2694,Entire home/apt,68,4,187,2022-09-07,1.70,8,299,27,
1136691,Top SanGennaroBed,5965834,Gianni Mario,,Pendino,40.85174,14.2598,Private room,36,1,353,2022-07-11,3.13,2,0,7,
330926,Elegant room in Historical Palazzo,1472960,Celesta,,Stella,40.85654,14.25328,Private room,80,2,224,2022-09-08,1.83,3,319,39,
1165052,Apartment in the historical center Wi-fi+Terrace,6379451,Dario,,Porto,40.84455,14.2567,Entire home/apt,95,4,245,2022-09-03,2.17,3,134,33,
359692,Nardones48 apt1,955394,Stefano,,San Ferdinando,40.83607,14.2469,Entire home/apt,90,1,26,2017-07-22,0.21,6,318,0,
1169899,Lovely Studio  historic center,6405379,Martina,,San Lorenzo,40.85198,14.25925,Entire home/apt,60,1,58,2019-08-26,0.56,1,0,0,
359739,Nardones48 apt2,955394,Stefano,,San Ferdinando,40.83806,14.24666,Entire home/apt,94,1,15,2022-04-18,0.12,6,334,1,
1200059,Room in cottage with kitchen and nice garden,2858275,Roberta,,Posillipo,40.80177,14.19239,Entire home/apt,86,2,9,2022-05-23,0.11,4,83,3,
361071,Nardones48 apt3,955394,Stefano,,San Ferdinando,40.83668,14.24497,Entire home/apt,83,1,5,2014-11-25,0.04,6,334,0,
409654,Napoli Residenza Maiorani red,1587194,Marco,,San Lorenzo,40.85069,14.25884,Entire home/apt,49,3,292,2022-09-02,2.36,2,339,50,
1202148,PANORAMIC DEPENDANCE WITH GARDEN,6566657,Stefania,,San Carlo all'Arena,40.86187,14.26136,Entire home/apt,66,2,250,2022-08-27,2.24,2,331,22,
434629,B&B Il Viaggiatore: stanza Azzurra,1191263,Giuliano,,Montecalvario,40.84815,14.24941,Private room,95,2,0,,,4,338,0,
434630,B&B Il Viaggiatore: stanza Verde,1191263,Giuliano,,Avvocata,40.84845,14.2494,Private room,95,2,0,,,4,338,0,
1202881,My charming pied à terre - Centro antico,6570401,Véronique,,Pendino,40.85144,14.2599,Entire home/apt,50,4,279,2022-08-31,2.55,1,294,33,
1214989,Tourquoise Apartment,3508548,Marechiarocasa,,Chiaia,40.83649,14.23256,Entire home/apt,75,3,1,2017-06-04,0.02,6,243,0,
462466,Single Room | Rooms Rent Vesuvio,2298100,Gianluigi,,Ponticelli,40.85153,14.3417,Private room,35,2,20,2018-06-09,0.20,3,225,0,
492654,Il Terrazzino Napoli Centro Storico,2434558,Barbara,,San Giuseppe,40.84862,14.25306,Entire home/apt,50,3,170,2020-09-18,1.50,1,0,0,
1216299,Hostel Mancini Naples Single Room,1446354,Margherita,,San Lorenzo,40.85206,14.26617,Hotel room,110,1,1,2016-11-13,0.01,7,89,0,
1218754,WOLLY HOUSE,2690298,Valeria Cheri,,San Ferdinando,40.83855,14.25032,Entire home/apt,200,2,18,2017-11-02,0.18,1,257,0,
492947,Napoli Chiaia - Luminoso Monolocale,2436059,Rosanna,,Chiaia,40.8371696472168,14.220182418823242,Entire home/apt,60,2,3,2015-11-01,0.03,1,361,0,
494806,ANCIENT + DESIGN NAPLES APARTMENT,541702,Francesco,,San Ferdinando,40.83526,14.24747,Entire home/apt,95,30,30,2019-07-01,0.26,1,258,0,
1219831,Casa Dodo in the heart of Naples,6654008,Giancarlo,,San Lorenzo,40.8501,14.25719,Entire home/apt,70,2,62,2022-09-06,0.56,1,325,3,
1220098,"B&B  ""Casa Valeria""  (Wifi free)",6655754,Valeria,,Arenella,40.84902,14.2314,Hotel room,93,1,4,2022-06-21,0.11,1,246,1,
508930,Nardones48 apt5,955394,Stefano,,San Ferdinando,40.83779,14.2455,Entire home/apt,63,1,3,2015-07-21,0.03,6,334,0,
516800,"Old Town, on Tribunals. Naples",2544761,Fabio,,San Lorenzo,40.85115,14.26246,Entire home/apt,48,2,664,2022-09-03,6.27,2,305,71,
1226598,Bella Napoli in the heart of Naples,6691087,Francesca,,Pendino,40.85109,14.25961,Entire home/apt,180,3,25,2022-09-05,0.24,1,246,13,15063049EXT1228
547790,Double | Rooms Rent Vesuvio B&B,2298100,Gianluigi,,Ponticelli,40.85153,14.3417,Private room,15,30,17,2019-06-09,0.15,3,225,0,42C2007
1266358,Casuccia Mia a Mergellina,10101022,Paola,,Chiaia,40.8347,14.22009,Entire home/apt,60,3,142,2022-09-09,1.30,1,280,24,
547939,Double Large | Rooms Rent Vesuvio,2298100,Gianluigi,,Ponticelli,40.85153,14.3417,Private room,45,2,6,2019-12-29,0.05,3,225,0,
1296488,Elegant holidayhome in citycenter,7049229,Rosaria,,San Giuseppe,40.8491,14.25573,Entire home/apt,66,3,227,2022-09-06,2.03,1,308,27,
1307453,nice 3beds apartment near centrum,7107665,Vincenzo,,Avvocata,40.85348,14.23649,Entire home/apt,41,4,17,2022-05-18,0.18,1,236,2,
580756,Trieste:A window on P.za Plebiscito,2857025,Leopoldo,,San Ferdinando,40.83791,14.24845,Entire home/apt,70,2,39,2022-08-20,0.35,3,306,2,Autorizzazione Comune di Napoli n. 103/C/2004 del 05/08/2004
580835,POSILLIPO IN VILLA WITH VIEW GARDEN,2858275,Roberta,,Posillipo,40.80246,14.19322,Entire home/apt,194,4,198,2022-09-04,1.63,4,166,17,
1350231,Appartamento in centro,154638,Simona,,San Carlo all'Arena,40.85747,14.25706,Entire home/apt,60,1,23,2021-08-15,0.25,1,344,0,
601952,'o sole mio LOFT/ATTICO  a napoli,2977399,Paolo,,San Ferdinando,40.84009,14.25066,Entire home/apt,137,3,65,2022-09-11,0.53,1,24,15,
1369241,Appartamentino Bella'mbriana,7425845,Annarita,,Fuorigrotta,40.82306,14.19337,Entire home/apt,45,1,104,2022-09-02,0.94,4,308,13,
1383528,Rossonapoletano B&B Napoli Violet,7490413,Francesco,,San Lorenzo,40.85134,14.26439,Private room,22,3,287,2022-09-12,2.57,3,216,47,
610129,A delightful  studio with view.,1409200,Fabrizia,,Posillipo,40.80262,14.18598,Entire home/apt,45,3,1,2021-08-21,0.08,4,329,0,
1383636,Rossonapoletano B&B Napoli Blue,7490413,Francesco,,Pendino,40.85039,14.26377,Private room,22,3,144,2022-09-11,1.30,3,232,31,
621782,Trento: together in center of Naple,2857025,Leopoldo,,San Ferdinando,40.83694,14.24821,Entire home/apt,100,2,126,2021-08-29,1.10,3,130,0,Autorizazione Comune di Napoli n. 103/C/2004 del 05/08/2004
621836,Trieste & Trento: all in Naples,2857025,Leopoldo,,San Ferdinando,40.83782,14.24719,Entire home/apt,150,2,56,2019-09-01,0.52,3,167,0,Autorizzazione Comune di Napoli n. 103/C/2004 del 05/08/2004
1409155,Enchanting suite on Gulf of Naples,7585794,Margherita,,Chiaia,40.8247,14.219,Private room,186,1,8,2022-07-23,0.15,1,331,4,CUSR 15063049EXT1054
1420886,Domus Municipio King Bed Room,5274768,Giovanni,,San Ferdinando,40.83967,14.25105,Private room,51,1,95,2022-08-30,1.78,3,309,47,
627456,b&b  la sedia,3115107,Maria,,Avvocata,40.85005,14.24102,Private room,41,1,128,2022-09-07,1.48,1,345,21,
1424804,Appartamento Tipico Mergellina,7590448,Corrado,,Chiaia,40.83184,14.22317,Entire home/apt,87,6,53,2022-09-08,0.61,1,241,21,
1432863,Appartamento casa Bed & Breakfast Napoli :-),7701034,Dario,,Zona Industriale,40.85237,14.26925,Entire home/apt,147,2,54,2022-06-18,0.53,2,170,1,
1479180,Rossonapoletano B&B Napoli Green,7490413,Francesco,,Pendino,40.84984,14.26434,Private room,21,3,272,2022-09-12,2.46,3,209,43,
630813,"Posillipo, Cosy Cottage, nice view",2858275,Roberta,,Posillipo,40.80156,14.19449,Entire home/apt,99,3,132,2022-08-21,1.08,4,159,20,
1499546,COSY ROOM IN NAPLES WITH PRIVATE BATHROOM,3164746,Vincenzo,,Pendino,40.84945,14.25856,Private room,45,1000,320,2020-03-01,2.91,3,365,0,
632412,"B&B ""Il Cinquecento"" Double Room",3146165,Diana,,San Lorenzo,40.85174,14.26145,Private room,100,3,52,2017-06-13,0.44,4,309,0,
1509485,Appartamento confortevole centrale,8062604,Irene,,San Ferdinando,40.83569,14.24526,Entire home/apt,66,1,75,2022-09-09,0.71,1,305,44,
634025,Penthouse with view over Naples,3156735,Carmine,,Montecalvario,40.84221,14.24448,Entire home/apt,100,3,211,2022-09-12,1.73,1,0,34,
1594430,Napoli Center -Station,8504224,Antonio,,Pendino,40.84869,14.26327,Entire home/apt,50,10,47,2021-12-17,0.55,4,10,1,
636005,Nardones48 apt4,955394,Stefano,,San Ferdinando,40.83626,14.24639,Entire home/apt,83,1,11,2018-06-11,0.09,6,334,0,
1596150,"Naples downtown penthouse, artist house",8510907,Anna,,Porto,40.84694,14.25584,Private room,35,2,181,2022-08-02,1.68,1,37,14,
664932,Hostel Mancini Naples Twin Room,1446354,Margherita,,San Lorenzo,40.85207,14.26617,Hotel room,109,1,3,2021-12-22,0.03,7,127,1,
1632213,Camerata femminile Fermale only dorm,1446354,Margherita,,San Lorenzo,40.85206,14.26617,Shared room,55,1,75,2022-08-25,0.71,7,106,8,
1662234,Palazzo della Principessa Naples,8807547,Flaminia,,San Ferdinando,40.83886,14.24603,Entire home/apt,131,1,418,2022-09-13,3.96,1,247,76,
665045,"Dormi da Clà, center of Naples, with Parking",3360063,Claudio Boca,,Porto,40.84714,14.2545,Entire home/apt,78,1,420,2022-08-28,3.92,2,332,59,
1697521,Spaghetti Home near the Cathedral,8964657,Dario,,San Lorenzo,40.85807,14.26231,Entire home/apt,51,1,163,2022-08-30,1.51,1,269,29,
665854,Stunning spacious flat near Piazza Amedeo,2573554,Luca,,Chiaia,40.83624,14.2341,Entire home/apt,74,3,3,2013-03-15,0.02,1,305,0,
1727463,A CASA E PEPE' Appart. a Napoli,9103457,Giuseppe,,Avvocata,40.84893,14.24919,Entire home/apt,56,2,292,2022-09-05,3.08,1,159,27,
672217,AMONG THE HISTORIC CENTER' S DOMES,3408327,Paola,,San Lorenzo,40.84954,14.25721,Entire home/apt,90,2,273,2019-11-03,2.24,1,0,0,
678258,Hostel Mancini Naples Quad. Room,1446354,Margherita,,San Lorenzo,40.85207,14.26617,Hotel room,186,1,5,2018-12-26,0.05,7,105,0,
1731430,o'beb camera 62,9121887,Daniela,,Stella,40.85537,14.24788,Private room,65,2,240,2022-09-06,2.38,6,262,32,
678798,"Panoramic,  Romantic, with private terrace",3454889,Valerio Maria,,San Giuseppe,40.84649,14.25199,Entire home/apt,80,2,179,2022-09-08,1.54,1,325,47,
1731459,casa degli scalzi,9121887,Daniela,,Avvocata,40.8536,14.24582,Entire home/apt,180,2,25,2021-11-05,0.25,6,0,1,
680987,Design apartment in city center,468128,Massimiliano,,San Ferdinando,40.83729,14.24634,Entire home/apt,500,3,0,,,1,365,0,
1743313,"""The cat"" holiday home",9177668,Adriana,,Vomero,40.84459,14.22917,Entire home/apt,120,3,53,2021-11-21,0.49,1,0,1,
691798,Chiaia Maison,3536694,Dario,,San Ferdinando,40.83532,14.24407,Entire home/apt,22,3,10,2020-03-03,0.16,1,308,0,
1745867,Holiday House LOVE,9188919,Antonietta,,Porto,40.84723,14.25613,Entire home/apt,65,3,58,2022-08-07,0.53,1,294,2,
1763332,castello delle principesse,9268114,Daniela,,Avvocata,40.85423,14.23879,Entire home/apt,54,3,96,2022-07-31,1.11,1,169,8,
695666,Casamarina nel centro di Napoli,3561316,Marina,,Pendino,40.85031,14.26832,Entire home/apt,64,4,334,2022-08-19,2.77,3,317,19,
1805251,Modern Apartment with Parking in Historical center,3360063,Claudio Boca,,Porto,40.847,14.254,Entire home/apt,68,2,289,2022-09-03,3.90,2,325,50,
697484,Apartment Naples center Museum,3573544,Marcella,,Stella,40.85761,14.2523,Entire home/apt,55,3,137,2020-10-04,1.14,1,225,0,
1808056,""" ALLATERRAZZa"" sconti per famiglie,gruppi, coppie",4382180,Annamaria,,Montecalvario,40.84285,14.24725,Entire home/apt,93,7,53,2021-09-25,0.55,3,1,1,
698809,Relax in the heart of Naples (piazza Plebiscito),3582074,Federica,,San Ferdinando,40.83747,14.24834,Private room,55,1,425,2022-07-14,3.50,1,203,25,
1813196,Bianca (View over the roofs),7159267,Bianca,,Avvocata,40.85023,14.24652,Private room,30,2,288,2022-09-11,2.82,2,332,38,
702052,Central penthouse with panoramic rooftop!,3603593,Nico,,Avvocata,40.85572,14.23947,Entire home/apt,80,3,99,2022-09-11,0.82,1,342,14,
1823627,Rooms in city-center apartment,7159267,Bianca,,Avvocata,40.85023,14.24652,Private room,60,2,147,2022-09-13,1.38,2,338,27,
706257,Elegant self –contained studios,3629429,Enjoy,,Avvocata,40.85069,14.24927,Entire home/apt,94,1,12,2022-05-09,0.10,2,347,3,
1848801,Attico nel cuore dei decumani,9656965,Maica,,San Lorenzo,40.85144,14.26184,Private room,35,3,151,2022-03-21,1.40,5,318,1,
